# # Time 	 h_plus 	 h_cross 
# 
-4.090000000000000000e+02	7.088496203841715415e-02	-1.081776926687914343e-02
-4.080000000000000000e+02	7.150270392954714838e-02	-5.785931273483623134e-03
-4.070000000000000000e+02	7.176366268283765337e-02	-7.177294920378280828e-04
-4.060000000000000000e+02	7.166556724247163945e-02	4.361520909057985812e-03
-4.050000000000000000e+02	7.120794206466853071e-02	9.426386343904361725e-03
-4.040000000000000000e+02	7.039211323577100610e-02	1.445140571387835970e-02
-4.030000000000000000e+02	6.922121109346873746e-02	1.941121802396643045e-02
-4.020000000000000000e+02	6.770016381143813267e-02	2.428069031168526154e-02
-4.010000000000000000e+02	6.583568191061574260e-02	2.903504524918905372e-02
-4.000000000000000000e+02	6.363623370544349567e-02	3.364998777526211071e-02
-3.990000000000000000e+02	6.111201173906667672e-02	3.810183011282639032e-02
-3.980000000000000000e+02	5.827489030716128532e-02	4.236761453016808787e-02
-3.970000000000000000e+02	5.513837421589075360e-02	4.642523320949182991e-02
-3.960000000000000000e+02	5.171753896488085617e-02	5.025354459544537772e-02
-3.950000000000000000e+02	4.802896259116794936e-02	5.383248560822275625e-02
-3.940000000000000000e+02	4.409064945428363413e-02	5.714317912128186183e-02
-3.930000000000000000e+02	3.992194628592957845e-02	6.016803612222403758e-02
-3.920000000000000000e+02	3.554345086986893110e-02	6.289085199698862816e-02
-3.910000000000000000e+02	3.097691375828538762e-02	6.529689640229818792e-02
-3.900000000000000000e+02	2.624513346998911395e-02	6.737299621891708334e-02
-3.890000000000000000e+02	2.137186137117229323e-02	6.910760624795433960e-02
-3.880000000000000000e+02	1.638165108040607124e-02	7.049089092612176310e-02
-3.870000000000000000e+02	1.129974731275310007e-02	7.151477491199897951e-02
-3.860000000000000000e+02	6.151979020333036598e-03	7.217298947245202878e-02
-3.850000000000000000e+02	9.646193690541626656e-04	7.246111849471373323e-02
-3.840000000000000000e+02	-4.235746875251194740e-03	7.237663115851884765e-02
-3.830000000000000000e+02	-9.422358448183483851e-03	7.191890513776173777e-02
-3.820000000000000000e+02	-1.456841450136128757e-02	7.108924013679342180e-02
-3.810000000000000000e+02	-1.964721264023893202e-02	6.989086161430357880e-02
-3.800000000000000000e+02	-2.463228738304244422e-02	6.832891459683429480e-02
-3.790000000000000000e+02	-2.949754832996990053e-02	6.641044753407984724e-02
-3.780000000000000000e+02	-3.421741732653475754e-02	6.414438619906319416e-02
-3.770000000000000000e+02	-3.876696390352849658e-02	6.154149768767858131e-02
-3.760000000000000000e+02	-4.312203827813137352e-02	5.861434462381968913e-02
-3.750000000000000000e+02	-4.725940120657390331e-02	5.537722972804701160e-02
-3.740000000000000000e+02	-5.115684998845889536e-02	5.184613095913294389e-02
-3.730000000000000000e+02	-5.479342614439212250e-02	4.803870306979856480e-02
-3.720000000000000000e+02	-5.814937864199330037e-02	4.397402705354461899e-02
-3.710000000000000000e+02	-6.120623218016312678e-02	3.967253829886038807e-02
-3.700000000000000000e+02	-6.394708530074653952e-02	3.515608692843986971e-02
-3.690000000000000000e+02	-6.635662180408266608e-02	3.044774405998629599e-02
-3.680000000000000000e+02	-6.842120004836856062e-02	2.557168759097152438e-02
-3.670000000000000000e+02	-7.012893408118250904e-02	2.055308137459617435e-02
-3.660000000000000000e+02	-7.146976610875738212e-02	1.541794836621605130e-02
-3.650000000000000000e+02	-7.243552984931532490e-02	1.019303835672843647e-02
-3.640000000000000000e+02	-7.302000436025758712e-02	4.905690943931007020e-03
-3.630000000000000000e+02	-7.321895797514493820e-02	-4.163055756326946742e-04
-3.620000000000000000e+02	-7.303018203500041827e-02	-5.744858683661702159e-03
-3.610000000000000000e+02	-7.245351414924830480e-02	-1.105171875040811269e-02
-3.600000000000000000e+02	-7.149085077437471181e-02	-1.630862802161470171e-02
-3.590000000000000000e+02	-7.014614895287861474e-02	-2.148747070797413922e-02
-3.580000000000000000e+02	-6.842541711100201540e-02	-2.656042338951135340e-02
-3.570000000000000000e+02	-6.633669487086114869e-02	-3.150010493769331288e-02
-3.560000000000000000e+02	-6.389002189055974223e-02	-3.627972515284317440e-02
-3.550000000000000000e+02	-6.109739580448003693e-02	-4.087323131314633817e-02
-3.540000000000000000e+02	-5.797271939477115221e-02	-4.525545183475091632e-02
-3.530000000000000000e+02	-5.453199254157126141e-02	-4.940195437655700572e-02
-3.520000000000000000e+02	-5.079252581307477921e-02	-5.329005304866839265e-02
-3.510000000000000000e+02	-4.677347486166665014e-02	-5.689808068405464991e-02
