# # Time 	 h_plus 	 h_cross 
# 
-4.090000000000000000e+02	-1.602135534202913103e-01	-3.776961481436291734e-02
-4.080000000000000000e+02	-1.627526879755961109e-01	-2.523305139589803944e-02
-4.070000000000000000e+02	-1.643139387891870695e-01	-1.251598603050758582e-02
-4.060000000000000000e+02	-1.648837098280961644e-01	3.054332423594385902e-04
-4.050000000000000000e+02	-1.644543267351150084e-01	1.315398438197686558e-02
-4.040000000000000000e+02	-1.630241242394780132e-01	2.595183107122279315e-02
-4.030000000000000000e+02	-1.605988855585826769e-01	3.862087880220998332e-02
-4.020000000000000000e+02	-1.571877314375978718e-01	5.108318309712092664e-02
-4.010000000000000000e+02	-1.528072660928317672e-01	6.326168874178797474e-02
-4.000000000000000000e+02	-1.474801658920422420e-01	7.508059490956024706e-02
-3.990000000000000000e+02	-1.412350795669697900e-01	8.646586261482749891e-02
-3.980000000000000000e+02	-1.341064841297835153e-01	9.734570293387397044e-02
-3.970000000000000000e+02	-1.261344561269602538e-01	1.076510975720010310e-01
-3.960000000000000000e+02	-1.173649912583077382e-01	1.173162087858043851e-01
-3.950000000000000000e+02	-1.078495181866474112e-01	1.262794604258128395e-01
-3.940000000000000000e+02	-9.764250008339872555e-02	1.344811986507707668e-01
-3.930000000000000000e+02	-8.680433120222645627e-02	1.418671422113228220e-01
-3.920000000000000000e+02	-7.539966542132410521e-02	1.483878271966917739e-01
-3.910000000000000000e+02	-6.349715983147634357e-02	1.539988695554967424e-01
-3.900000000000000000e+02	-5.116950660778858684e-02	1.586614359866286295e-01
-3.890000000000000000e+02	-3.849185514651010803e-02	1.623425696935976159e-01
-3.880000000000000000e+02	-2.554178594145035952e-02	1.650146837045623760e-01
-3.870000000000000000e+02	-1.239939484491835164e-02	1.666566330079477798e-01
-3.860000000000000000e+02	8.534754478946965069e-04	1.672536227095318961e-01
-3.850000000000000000e+02	1.413363563154270384e-02	1.667973708361985830e-01
-3.840000000000000000e+02	2.735646469146525012e-02	1.652863639248507432e-01
-3.830000000000000000e+02	4.043911760689420515e-02	1.627259590801149458e-01
-3.820000000000000000e+02	5.329812355836099913e-02	1.591275978175473449e-01
-3.810000000000000000e+02	6.585074446886113320e-02	1.545092405458491913e-01
-3.800000000000000000e+02	7.801564873792057875e-02	1.488957273742719245e-01
-3.790000000000000000e+02	8.971340168844676999e-02	1.423184288566234634e-01
-3.780000000000000000e+02	1.008665594258420645e-01	1.348154382056391820e-01
-3.770000000000000000e+02	1.114010424284589684e-01	1.264305510626933526e-01
-3.760000000000000000e+02	1.212466131042744810e-01	1.172131886807667028e-01
-3.750000000000000000e+02	1.303373053076097021e-01	1.072195575470182294e-01
-3.740000000000000000e+02	1.386111396045181243e-01	9.651065434929426146e-02
-3.730000000000000000e+02	1.460109791007069280e-01	8.515248787209467318e-02
-3.720000000000000000e+02	1.524836218359502116e-01	7.321535386303146264e-02
-3.710000000000000000e+02	1.579836872988471252e-01	6.077458331849459883e-02
-3.700000000000000000e+02	1.624715157178952540e-01	4.790891770460218441e-02
-3.690000000000000000e+02	1.659134276792729179e-01	3.470026811800318994e-02
-3.680000000000000000e+02	1.682823115852103701e-01	2.123327554778669385e-02
-3.670000000000000000e+02	1.695578510942636341e-01	7.594741318312894611e-03
-3.660000000000000000e+02	1.697266941924127082e-01	-6.126788020737461427e-03
-3.650000000000000000e+02	1.687826242477559746e-01	-1.984158672020416847e-02
-3.640000000000000000e+02	1.667251679653242447e-01	-3.345913214934365804e-02
-3.630000000000000000e+02	1.635637615094348851e-01	-4.688968823852501799e-02
-3.620000000000000000e+02	1.593147980826114529e-01	-6.004404771960878545e-02
-3.610000000000000000e+02	1.540016931390357502e-01	-7.283303783724100200e-02
-3.600000000000000000e+02	1.476549423024459684e-01	-8.517010741730593470e-02
-3.590000000000000000e+02	1.403121054482902308e-01	-9.697121260033743362e-02
-3.580000000000000000e+02	1.320175502498063258e-01	-1.081566098768975692e-01
-3.570000000000000000e+02	1.228220218840695155e-01	-1.186479487411137568e-01
-3.560000000000000000e+02	1.127829945135482848e-01	-1.283711007718315311e-01
-3.550000000000000000e+02	1.019640900202256478e-01	-1.372572196605784389e-01
-3.540000000000000000e+02	9.043475099725777067e-02	-1.452428967789160530e-01
-3.530000000000000000e+02	7.827028116327330864e-02	-1.522705441244845137e-01
-3.520000000000000000e+02	6.554932830527375465e-02	-1.582878067825134738e-01
-3.510000000000000000e+02	5.235470673021730414e-02	-1.632496594738979401e-01
-3.500000000000000000e+02	3.877353292185488354e-02	-1.671176026330153108e-01
-3.490000000000000000e+02	2.489615815555536529e-02	-1.698593766596131760e-01
-3.480000000000000000e+02	1.081580203046504651e-02	-1.714513750657905289e-01
-3.470000000000000000e+02	-3.372677285573960453e-03	-1.718782536773554026e-01
-3.460000000000000000e+02	-1.757319229239660482e-02	-1.711318707898051295e-01
-3.450000000000000000e+02	-3.168881918925342545e-02	-1.692119901307955476e-01
-3.440000000000000000e+02	-4.562232504359375884e-02	-1.661264395298091834e-01
-3.430000000000000000e+02	-5.927724551304287826e-02	-1.618910900610822101e-01
-3.420000000000000000e+02	-7.255916610898337227e-02	-1.565314369247018667e-01
-3.410000000000000000e+02	-8.537628512165290617e-02	-1.500808176488666046e-01
-3.400000000000000000e+02	-9.763497243613748766e-02	-1.425748700630991295e-01
-3.390000000000000000e+02	-1.092483913871569179e-01	-1.340595544400476069e-01
-3.380000000000000000e+02	-1.201327221775754933e-01	-1.245883813286828429e-01
-3.370000000000000000e+02	-1.302081274940680988e-01	-1.142221454710295320e-01
-3.360000000000000000e+02	-1.393996591574838406e-01	-1.030284393827372302e-01
-3.350000000000000000e+02	-1.476356738441729488e-01	-9.107869373382487810e-02
-3.340000000000000000e+02	-1.548528793197058162e-01	-7.845592136506285286e-02
-3.330000000000000000e+02	-1.609971464360667182e-01	-6.524772786266627711e-02
-3.320000000000000000e+02	-1.660200947761851509e-01	-5.154451382339729493e-02
-3.310000000000000000e+02	-1.698805019803101557e-01	-3.744235790639264400e-02
-3.300000000000000000e+02	-1.725455867454080694e-01	-2.304064542511204128e-02
-3.290000000000000000e+02	-1.739895239417367234e-01	-8.441824187201190863e-03
-3.280000000000000000e+02	-1.741986523921982832e-01	6.250809252546761681e-03
-3.270000000000000000e+02	-1.731673152789440229e-01	2.093252693087892594e-02
-3.260000000000000000e+02	-1.708983395210501854e-01	3.549837988665945770e-02
-3.250000000000000000e+02	-1.674030933290230894e-01	4.984505658298451353e-02
-3.240000000000000000e+02	-1.627015949302562936e-01	6.386974482906629391e-02
-3.230000000000000000e+02	-1.568254818551743923e-01	7.747313815617003219e-02
-3.220000000000000000e+02	-1.498057826121137193e-01	9.055445173954153326e-02
-3.210000000000000000e+02	-1.416865357931710867e-01	1.030169347108247924e-01
-3.200000000000000000e+02	-1.325190480333287568e-01	1.147670804005773565e-01
-3.190000000000000000e+02	-1.223640361540740962e-01	1.257165539944041510e-01
-3.180000000000000000e+02	-1.112901985315881415e-01	1.357812085427392013e-01
-3.170000000000000000e+02	-9.937292083577886626e-02	1.448823791833709074e-01
-3.160000000000000000e+02	-8.669334651240227785e-02	1.529456092064605255e-01
-3.150000000000000000e+02	-7.334251298668503782e-02	1.599093440505921226e-01
-3.140000000000000000e+02	-5.941489674446841923e-02	1.657173324758781652e-01
-3.130000000000000000e+02	-4.501131787762333025e-02	1.703208906379249377e-01
