# # Time 	 h_plus 	 h_cross 
# 
-4.090000000000000000e+02	1.202443956974158373e-01	8.029929777981735517e-02
-4.080000000000000000e+02	1.141619647257614972e-01	8.886519978524809460e-02
-4.070000000000000000e+02	1.074653209039099916e-01	9.697832284458374197e-02
-4.060000000000000000e+02	1.001873762165132464e-01	1.045939769991003770e-01
-4.050000000000000000e+02	9.236461411454899295e-02	1.116700888423148574e-01
-4.040000000000000000e+02	8.403659848985901848e-02	1.181672282633381144e-01
-4.030000000000000000e+02	7.524614926547003313e-02	1.240486154947177677e-01
-4.020000000000000000e+02	6.603817160244750128e-02	1.292810034102236938e-01
-4.010000000000000000e+02	5.646013260519197607e-02	1.338342912143691554e-01
-4.000000000000000000e+02	4.656182858106148320e-02	1.376817668744746703e-01
-3.990000000000000000e+02	3.639502800348577011e-02	1.408003498212587468e-01
-3.980000000000000000e+02	2.601320816753934298e-02	1.431707399459385965e-01
-3.970000000000000000e+02	1.547128034235971394e-02	1.447775476199892886e-01
-3.960000000000000000e+02	4.825304777622128893e-03	1.456094038326431472e-01
-3.950000000000000000e+02	-5.867803006460998831e-03	1.456590496373340038e-01
-3.940000000000000000e+02	-1.655057315063464263e-02	1.449234042002447154e-01
-3.930000000000000000e+02	-2.716528805619347273e-02	1.434036108514403218e-01
-3.920000000000000000e+02	-3.765429304869469251e-02	1.411050606512592176e-01
-3.910000000000000000e+02	-4.795997735647788279e-02	1.380375084878568137e-01
-3.900000000000000000e+02	-5.802555930639882731e-02	1.342149878567414079e-01
-3.890000000000000000e+02	-6.779608446140734934e-02	1.296553626557496175e-01
-3.880000000000000000e+02	-7.721731962577957353e-02	1.243807535763778449e-01
-3.870000000000000000e+02	-8.623664186496791950e-02	1.184172911171105236e-01
-3.860000000000000000e+02	-9.480333637229727828e-02	1.117950021699671143e-01
-3.850000000000000000e+02	-1.028688866683440534e-01	1.045476743899775990e-01
-3.840000000000000000e+02	-1.103870649411019811e-01	9.671253190990698745e-02
-3.830000000000000000e+02	-1.173138684142724791e-01	8.832992308781122126e-02
-3.820000000000000000e+02	-1.236098626214293117e-01	7.944472645869528338e-02
-3.810000000000000000e+02	-1.292380585841879648e-01	7.010400039487041379e-02
-3.800000000000000000e+02	-1.341649464400525849e-01	6.035756607162220261e-02
-3.790000000000000000e+02	-1.383607001055046637e-01	5.025776573641166367e-02
-3.780000000000000000e+02	-1.417991941452924343e-01	3.985983011190086939e-02
-3.770000000000000000e+02	-1.444588295776075559e-01	2.921962352773842947e-02
-3.760000000000000000e+02	-1.463219210888448418e-01	1.839528301557550455e-02
-3.750000000000000000e+02	-1.473751050222403547e-01	7.446287126935572515e-03
-3.740000000000000000e+02	-1.476094449841615919e-01	-3.566863640038221619e-03
-3.730000000000000000e+02	-1.470205139812898743e-01	-1.458297499471712493e-02
-3.720000000000000000e+02	-1.456084523748959192e-01	-2.554049388111883506e-02
-3.710000000000000000e+02	-1.433780010611548916e-01	-3.637784861022007321e-02
-3.700000000000000000e+02	-1.403385094142719780e-01	-4.703379227783872213e-02
-3.690000000000000000e+02	-1.365039176615313044e-01	-5.744774760616324499e-02
-3.680000000000000000e+02	-1.318927134956086877e-01	-6.756015131395705364e-02
-3.670000000000000000e+02	-1.265278628689669727e-01	-7.731279609730080937e-02
-3.660000000000000000e+02	-1.204354184119701271e-01	-8.664823540819636960e-02
-3.650000000000000000e+02	-1.136467136097487896e-01	-9.551127587452602763e-02
-3.640000000000000000e+02	-1.061993660437240833e-01	-1.038509145630920477e-01
-3.630000000000000000e+02	-9.813305627373150597e-02	-1.116178089374798288e-01
-3.620000000000000000e+02	-8.949138717485631556e-02	-1.187654136161668539e-01
-3.610000000000000000e+02	-8.032139976426928840e-02	-1.252505489404843741e-01
-3.600000000000000000e+02	-7.067341602078107410e-02	-1.310335700886534060e-01
-3.590000000000000000e+02	-6.060077639771057484e-02	-1.360786191353346997e-01
-3.580000000000000000e+02	-5.015955779757522853e-02	-1.403538578885373256e-01
-3.570000000000000000e+02	-3.940827339258739376e-02	-1.438316799798408097e-01
-3.560000000000000000e+02	-2.840755579412300100e-02	-1.464889007814277888e-01
-3.550000000000000000e+02	-1.721982518698502232e-02	-1.483069238302193726e-01
-3.540000000000000000e+02	-5.908704565408950428e-03	-1.492718920389204673e-01
-3.530000000000000000e+02	5.460818687003377893e-03	-1.493747313822525180e-01
-3.520000000000000000e+02	1.682282561802933216e-02	-1.486113381771724251e-01
-3.510000000000000000e+02	2.811126715243466440e-02	-1.469826401515459124e-01
-3.500000000000000000e+02	3.926013169160085664e-02	-1.444946047900438346e-01
-3.490000000000000000e+02	5.020382972082771539e-02	-1.411582435059305363e-01
-3.480000000000000000e+02	6.087757960712553151e-02	-1.369895864871749358e-01
-3.470000000000000000e+02	7.121779235666245156e-02	-1.320096280344491557e-01
-3.460000000000000000e+02	8.116245307821125243e-02	-1.262442423775987643e-01
-3.450000000000000000e+02	9.065149688899398761e-02	-1.197240701286734627e-01
-3.440000000000000000e+02	9.962760946111762217e-02	-1.124839926733175732e-01
-3.430000000000000000e+02	1.080352550245492066e-01	-1.045640163163504693e-01
-3.420000000000000000e+02	1.158223300990600807e-01	-9.600816150852914399e-02
-3.410000000000000000e+02	1.229401194417636817e-01	-8.686446215095186552e-02
-3.400000000000000000e+02	1.293435844843657534e-01	-7.718473299719837144e-02
-3.390000000000000000e+02	1.349916603592267450e-01	-6.702429133475534817e-02
-3.380000000000000000e+02	1.398475321080202560e-01	-5.644165508330358655e-02
-3.370000000000000000e+02	1.438788881845027012e-01	-4.549821884563052393e-02
-3.360000000000000000e+02	1.470577634439582393e-01	-3.425781967116618698e-02
-3.350000000000000000e+02	1.493605393498815548e-01	-2.278649847272607928e-02
-3.340000000000000000e+02	1.507715717573458736e-01	-1.115260038374744564e-02
-3.330000000000000000e+02	1.512785504401961967e-01	5.747187227961369571e-04
-3.320000000000000000e+02	1.508745188433407436e-01	1.232529456432808132e-02
