files-in-error-series,SXS_BBH_0136_Res5.h5
comparable-simulation,"SXS_BBH_0010_Res1.h5,SXS_BBH_0010_Res3.h5,SXS_BBH_0010_Res4.h5,SXS_BBH_0010_Res5.h5"
NR-code,SpEC
point-of-contact-email,questions@black-holes.org
object1,BH
object2,BH
spin1y,-0.11362686240600001
f_lower_at_1MSUN,1023.0504252411964
spin1z,0.32587996766900001
modification-date,2017-03-05
production-run,1
alternative-names,SXS:BBH:0136
Format,3
LNhaty,-0.00098723559757442196
LNhatx,-0.0076435463960164204
LNhatz,0.99997030034114853
mean_anomaly,5.1048039999999997
Omega,0.015830566083312101
INSPIRE-bibtex-keys,SXS:catalog
NR-group,SXS
spin2x,-0.14549583571399999
spin2y,-0.070721107669100003
spin2z,0.14462850075200001
eccentricity,8.6700000000000007e-05
nhatz,-0.0063915028785484565
simulation-type,precessing
nhatx,-0.89402966822005792
nhaty,0.44796216473412875
mass1,0.62694264576699998
name,SXS:BBH:0136
license,LVC-internal
mass2,0.37314324183999997
type,NRinjection
Lmax,8
eta,0.23389923147330433
spin-type,Precessing
NR-techniques,"Quasi-Equilibrium-ID, GH, RWZ-h, Extrapolated-Waveform, Christodoulou-Mass"
NR_frame,inertial
NR_reference_time,170.0
PN_approximant,"none, NR only"
spin1x,0.117632
