# # Time 	 h_plus 	 h_cross 
# 
-4.090000000000000000e+02	2.778640129656384343e-03	-8.424981875572594425e-02
-4.080000000000000000e+02	1.139055912248350746e-02	-8.356431240044578934e-02
-4.070000000000000000e+02	1.989810541120100307e-02	-8.199888237299447769e-02
-4.060000000000000000e+02	2.821134564548101464e-02	-7.956701560390580519e-02
-4.050000000000000000e+02	3.624194248952861824e-02	-7.629139863514172726e-02
-4.040000000000000000e+02	4.390408894625019709e-02	-7.220372655472638568e-02
-4.030000000000000000e+02	5.111534979289097252e-02	-6.734433341365300696e-02
-4.020000000000000000e+02	5.779781849382380210e-02	-6.176220886305818641e-02
-4.010000000000000000e+02	6.387872952238936308e-02	-5.551410711826916533e-02
-4.000000000000000000e+02	6.929133765291961566e-02	-4.866414885172950372e-02
-3.990000000000000000e+02	7.397566835638444416e-02	-4.128318922354300147e-02
-3.980000000000000000e+02	7.787920250393054467e-02	-3.344810895844173987e-02
-3.970000000000000000e+02	8.095748743202635378e-02	-2.524103523211796221e-02
-3.960000000000000000e+02	8.317466711244859978e-02	-1.674849995546482187e-02
-3.950000000000000000e+02	8.450392597572758957e-02	-8.060533003785170028e-03
-3.940000000000000000e+02	8.492783331133518798e-02	7.302529507050390268e-04
-3.930000000000000000e+02	8.443860176745653090e-02	9.529652584232868248e-03
-3.920000000000000000e+02	8.303823749356230299e-02	1.824287673900717652e-02
-3.910000000000000000e+02	8.073858580552628617e-02	2.677556531528300920e-02
-3.900000000000000000e+02	7.756127208531561623e-02	3.503480895218285401e-02
-3.890000000000000000e+02	7.353753652966593668e-02	4.293016393714278733e-02
-3.880000000000000000e+02	6.870796342467118401e-02	5.037464930831326432e-02
-3.870000000000000000e+02	6.312210677083822385e-02	5.728571517237188854e-02
-3.860000000000000000e+02	5.683801522744252877e-02	6.358617143700294461e-02
-3.850000000000000000e+02	4.992166047269131629e-02	6.920506645433520398e-02
-3.840000000000000000e+02	4.244627417587129581e-02	7.407850548577712968e-02
-3.830000000000000000e+02	3.449157043729274286e-02	7.815041240396561339e-02
-3.820000000000000000e+02	2.614299847543822761e-02	8.137315682205512046e-02
-3.810000000000000000e+02	1.749078860836768626e-02	8.370817950208145342e-02
-3.800000000000000000e+02	8.628997227943276463e-03	8.512647465515917056e-02
-3.790000000000000000e+02	-3.454927270649817118e-04	8.560897406333979609e-02
-3.780000000000000000e+02	-9.334019314715646595e-03	8.514682972044597398e-02
-3.770000000000000000e+02	-1.823721826760147172e-02	8.374158627389269305e-02
-3.760000000000000000e+02	-2.695611723531018619e-02	8.140524016549693931e-02
-3.750000000000000000e+02	-3.539323568159793987e-02	7.816018358110701780e-02
-3.740000000000000000e+02	-4.345367831165269923e-02	7.403903256941470057e-02
-3.730000000000000000e+02	-5.104620982237585702e-02	6.908433996581764269e-02
-3.720000000000000000e+02	-5.808430077595506946e-02	6.334819325024464154e-02
-3.710000000000000000e+02	-6.448713072067599472e-02	5.689169974065812901e-02
-3.700000000000000000e+02	-7.018051207957336224e-02	4.978439605769580806e-02
-3.690000000000000000e+02	-7.509784169946584487e-02	4.210352578584637684e-02
-3.680000000000000000e+02	-7.918215088384350508e-02	3.393375294169681533e-02
-3.670000000000000000e+02	-8.238287009449733744e-02	2.536427300028783888e-02
-3.660000000000000000e+02	-8.466036678761380829e-02	1.649020806262347857e-02
-3.650000000000000000e+02	-8.598520621049055013e-02	7.410729743922765851e-03
-3.640000000000000000e+02	-8.633858756761327025e-02	-1.772178485055389639e-03
-3.630000000000000000e+02	-8.571260585601628290e-02	-1.095472025394727753e-02
-3.620000000000000000e+02	-8.411043914872742833e-02	-2.003248966073900225e-02
-3.610000000000000000e+02	-8.154639937872337763e-02	-2.890165557065401888e-02
-3.600000000000000000e+02	-7.804585657256762898e-02	-3.746014994584885571e-02
-3.590000000000000000e+02	-7.364503610399644740e-02	-4.560884771148274175e-02
-3.580000000000000000e+02	-6.839068978428503032e-02	-5.325272457247561680e-02
-3.570000000000000000e+02	-6.233964306134224392e-02	-6.030197925941373216e-02
-3.560000000000000000e+02	-5.555822205169196754e-02	-6.667310690211214474e-02
-3.550000000000000000e+02	-4.812156556235121230e-02	-7.228991060541847813e-02
-3.540000000000000000e+02	-4.011285574966766410e-02	-7.708442473405449635e-02
-3.530000000000000000e+02	-3.162235013633653280e-02	-8.099781171312515904e-02
-3.520000000000000000e+02	-2.274643789715834544e-02	-8.398107556247409733e-02
-3.510000000000000000e+02	-1.358658085190829652e-02	-8.599571081185682087e-02
-3.500000000000000000e+02	-4.248163663525820338e-03	-8.701424241309430041e-02
-3.490000000000000000e+02	5.160701946700102169e-03	-8.702063517251416858e-02
-3.480000000000000000e+02	1.453041690695337437e-02	-8.601057388052514574e-02
-3.470000000000000000e+02	2.375116447967234173e-02	-8.399160928967452922e-02
-3.460000000000000000e+02	3.271413680775614452e-02	-8.098309340705270309e-02
-3.450000000000000000e+02	4.131296280854820924e-02	-7.701627234804482580e-02
-3.440000000000000000e+02	4.944489554128954356e-02	-7.213380925711204705e-02
-3.430000000000000000e+02	5.701203766359456276e-02	-6.638941161742047126e-02
-3.420000000000000000e+02	6.392255454726088193e-02	-5.984730669301911721e-02
-3.410000000000000000e+02	7.009181128019473239e-02	-5.258156836020643626e-02
-3.400000000000000000e+02	7.544343607188315481e-02	-4.467532027604494832e-02
-3.390000000000000000e+02	7.991029652597840538e-02	-3.621982330602841610e-02
-3.380000000000000000e+02	8.343537608198645095e-02	-2.731345662416254788e-02
-3.370000000000000000e+02	8.597253893207351672e-02	-1.806060330231063979e-02
-3.360000000000000000e+02	8.748717287891105698e-02	-8.570452504442353445e-03
-3.350000000000000000e+02	8.795670001498695489e-02	1.044343485516502530e-03
-3.340000000000000000e+02	8.737093086247502138e-02	1.066880443418576942e-02
-3.330000000000000000e+02	8.573233069678311280e-02	2.018708332388406343e-02
-3.320000000000000000e+02	8.305608463306457523e-02	2.948391772426463275e-02
-3.310000000000000000e+02	7.937001747619396030e-02	3.844598315611740674e-02
-3.300000000000000000e+02	7.471407037082504476e-02	4.696309775342365905e-02
-3.290000000000000000e+02	6.914066897590957772e-02	5.492993890145699692e-02
-3.280000000000000000e+02	6.271378642270296344e-02	6.224732183062611085e-02
-3.270000000000000000e+02	5.550801419990035457e-02	6.882324803902702126e-02
-3.260000000000000000e+02	4.760793449478122052e-02	7.457418346126240549e-02
-3.250000000000000000e+02	3.910712532409494485e-02	7.942617442607954881e-02
-3.240000000000000000e+02	3.010720605134664662e-02	8.331576473499339996e-02
-3.230000000000000000e+02	2.071657386472867957e-02	8.619093310508736672e-02
-3.220000000000000000e+02	1.104912595346491631e-02	8.801182172735315390e-02
-3.210000000000000000e+02	1.222912641570164877e-03	8.875132443715319508e-02
-3.200000000000000000e+02	-8.641287168011407838e-03	8.839553103936480249e-02
-3.190000000000000000e+02	-1.842143953166344716e-02	8.694401277028702968e-02
-3.180000000000000000e+02	-2.799576029917266035e-02	8.440994332624129903e-02
-3.170000000000000000e+02	-3.724423290473097975e-02	8.082005185427741656e-02
-3.160000000000000000e+02	-4.605012034184098602e-02	7.621440634412079973e-02
-3.150000000000000000e+02	-5.430145234186724290e-02	7.064602795866135876e-02
-3.140000000000000000e+02	-6.189240419953393607e-02	6.418040126862008254e-02
-3.130000000000000000e+02	-6.872486728194510119e-02	5.689461034520449517e-02
-3.120000000000000000e+02	-7.470959431074036816e-02	4.887655698689987588e-02
-3.110000000000000000e+02	-7.976740467282475433e-02	4.022396529560771233e-02
-3.100000000000000000e+02	-8.383029647751417957e-02	3.104321450534928278e-02
-3.090000000000000000e+02	-8.684209628156032423e-02	2.144799267162748185e-02
-3.080000000000000000e+02	-8.876011917051485067e-02	1.155820903586993013e-02
-3.070000000000000000e+02	-8.955513347500146382e-02	1.498198343825675677e-03
-3.060000000000000000e+02	-8.921195532266404382e-02	-8.604733382440299741e-03
-3.050000000000000000e+02	-8.772982126250339352e-02	-1.862188633280534300e-02
-3.040000000000000000e+02	-8.512252471982507951e-02	-2.842480010737446008e-02
-3.030000000000000000e+02	-8.141836744671414328e-02	-3.788690169497357235e-02
-3.020000000000000000e+02	-7.665996534871556689e-02	-4.688507994300628728e-02
-3.010000000000000000e+02	-7.090387269677778104e-02	-5.530131393122463684e-02
-3.000000000000000000e+02	-6.421962970789200920e-02	-6.302467050366643286e-02
-2.990000000000000000e+02	-5.668934602299717518e-02	-6.995217666609239437e-02
-2.980000000000000000e+02	-4.840663876116003961e-02	-7.599046363347705668e-02
-2.970000000000000000e+02	-3.947552200721932136e-02	-8.105706341147030092e-02
-2.960000000000000000e+02	-3.000914892314633306e-02	-8.508157835285262705e-02
-2.950000000000000000e+02	-2.012842085661979349e-02	-8.800670678762576027e-02
-2.940000000000000000e+02	-9.960479774929380595e-03	-8.978910943331241956e-02
-2.930000000000000000e+02	3.628978698086276762e-04	-9.040010312750355881e-02
-2.920000000000000000e+02	1.070698616546049593e-02	-8.982617046911627046e-02
-2.910000000000000000e+02	2.093569963259510683e-02	-8.806931255585530305e-02
-2.900000000000000000e+02	3.091367958603252405e-02	-8.514714945069463969e-02
-2.890000000000000000e+02	4.050813572283739478e-02	-8.109271854950642067e-02
-2.880000000000000000e+02	4.959023753866643319e-02	-7.595428624912929638e-02
-2.870000000000000000e+02	5.803703770288737990e-02	-6.979482912750886725e-02
-2.860000000000000000e+02	6.573315859853508247e-02	-6.269133582003470762e-02
-2.850000000000000000e+02	7.257239803939131984e-02	-5.473391468426169748e-02
-2.840000000000000000e+02	7.845923170297058880e-02	-4.602471637982574748e-02
-2.830000000000000000e+02	8.331019082083167271e-02	-3.667668309828971823e-02
-2.820000000000000000e+02	8.705509497394615936e-02	-2.681213867927661684e-02
-2.810000000000000000e+02	8.963812144038002527e-02	-1.656123620865832674e-02
-2.800000000000000000e+02	9.101841650909894832e-02	-6.060354014388453538e-03
-2.790000000000000000e+02	9.117161521061568907e-02	4.549812780911112985e-03
-2.780000000000000000e+02	9.008959733033428119e-02	1.512609974488077214e-02
-2.770000000000000000e+02	8.778086984398565662e-02	2.552474017106543674e-02
-2.760000000000000000e+02	8.427068137938965864e-02	3.560331924638165252e-02
-2.750000000000000000e+02	7.960084263955351236e-02	4.522272552304446719e-02
-2.740000000000000000e+02	7.382931909706476337e-02	5.424908125475235571e-02
-2.730000000000000000e+02	6.702959816639891821e-02	6.255562499613161187e-02
-2.720000000000000000e+02	5.928983616946403856e-02	7.002452005823621428e-02
-2.710000000000000000e+02	5.071179350736898517e-02	7.654856296960867168e-02
-2.700000000000000000e+02	4.140956949567028977e-02	8.203276701287916250e-02
-2.690000000000000000e+02	3.150815126813077960e-02	8.639579718689617549e-02
-2.680000000000000000e+02	2.114179396366965696e-02	8.957123457389565280e-02
-2.670000000000000000e+02	1.045231714283957093e-02	9.150922002833519753e-02
-2.660000000000000000e+02	-4.131678332737072335e-04	9.217568001495743402e-02
-2.650000000000000000e+02	-1.130369480854620350e-02	9.155442465200640256e-02
-2.640000000000000000e+02	-2.206668403867673156e-02	8.964724177188942988e-02
-2.630000000000000000e+02	-3.255020868838030823e-02	8.647399190177035289e-02
-2.620000000000000000e+02	-4.260506280512126737e-02	8.207251136866954011e-02
-2.610000000000000000e+02	-5.208689253968241950e-02	7.649826973717957501e-02
-2.600000000000000000e+02	-6.085828722285355902e-02	6.982377398974740079e-02
-2.590000000000000000e+02	-6.879080013749780398e-02	6.213772380583371807e-02
-2.580000000000000000e+02	-7.576686925098329028e-02	5.354392589424477461e-02
-2.570000000000000000e+02	-8.168160902832007075e-02	4.415997889651298441e-02
-2.560000000000000000e+02	-8.644444572976830998e-02	3.411574385706631768e-02
-2.550000000000000000e+02	-8.998057030042540261e-02	2.355161859686584480e-02
-2.540000000000000000e+02	-9.223218506991054388e-02	1.261663747970437864e-02
-2.530000000000000000e+02	-9.315952297728452569e-02	1.466420975471995243e-03
-2.520000000000000000e+02	-9.274162089415548260e-02	-9.738997945712209170e-03
-2.510000000000000000e+02	-9.097683240219277268e-02	-2.083743865012629287e-02
-2.500000000000000000e+02	-8.788371964410028603e-02	-3.166713865889510260e-02
-2.490000000000000000e+02	-8.349898558522941827e-02	-4.206858071917976560e-02
-2.480000000000000000e+02	-7.787918343883593053e-02	-5.188718838217305090e-02
-2.470000000000000000e+02	-7.109946427735461261e-02	-6.097559609907032135e-02
-2.460000000000000000e+02	-6.325270434104313111e-02	-6.919586126790332192e-02
-2.450000000000000000e+02	-5.444828807583433627e-02	-7.642167502784004418e-02
-2.440000000000000000e+02	-4.481066023359417394e-02	-8.254034627669788737e-02
-2.430000000000000000e+02	-3.447772140278364955e-02	-8.745457148463474384e-02
-2.420000000000000000e+02	-2.359891496822426674e-02	-9.108408485835098323e-02
-2.410000000000000000e+02	-1.233313746267144032e-02	-9.336705246167392724e-02
-2.400000000000000000e+02	-8.464772750581767494e-04	-9.426121187870929730e-02
-2.390000000000000000e+02	1.069018753558652335e-02	-9.374473587933214447e-02
-2.380000000000000000e+02	2.210369882032771349e-02	-9.181680222983575057e-02
-2.370000000000000000e+02	3.322119949918638654e-02	-8.849785583135068301e-02
-2.360000000000000000e+02	4.387273046900178053e-02	-8.382956323026871659e-02
-2.350000000000000000e+02	5.389386425909702821e-02	-7.787443460404647189e-02
-2.340000000000000000e+02	6.312828994292686569e-02	-7.071504228659455937e-02
-2.330000000000000000e+02	7.142986675904329508e-02	-6.245280790768804879e-02
-2.320000000000000000e+02	7.866612861072888596e-02	-5.320775515382087512e-02
-2.310000000000000000e+02	8.471941566588694905e-02	-4.311561241331092476e-02
-2.300000000000000000e+02	8.948918740119451987e-02	-3.232638498298850277e-02
-2.290000000000000000e+02	9.289378142199040955e-02	-2.100221537338331154e-02
-2.280000000000000000e+02	9.487190721248248138e-02	-9.315023451594222487e-03
-2.270000000000000000e+02	9.538384681902073448e-02	2.556041048978211459e-03
-2.260000000000000000e+02	9.441233058340278705e-02	1.442734878090854052e-02
-2.250000000000000000e+02	9.196308272330554201e-02	2.611348796391901872e-02
-2.240000000000000000e+02	8.806504984907458089e-02	3.743015987737333822e-02
-2.230000000000000000e+02	8.277021338520874905e-02	4.819718765684196521e-02
-2.220000000000000000e+02	7.615305913186525000e-02	5.824135662316936440e-02
-2.210000000000000000e+02	6.830968152257280157e-02	6.739923945052932186e-02
-2.200000000000000000e+02	5.935653128382977622e-02	7.551991035469433899e-02
-2.190000000000000000e+02	4.942881969979755208e-02	8.246750305124575520e-02
-2.180000000000000000e+02	3.867834285204312106e-02	8.812298637547714975e-02
-2.170000000000000000e+02	2.727224251218865816e-02	9.238788331542337195e-02
-2.160000000000000000e+02	1.538934552741222199e-02	9.518479135781522660e-02
-2.150000000000000000e+02	3.217802609093218646e-03	9.645913072976342040e-02
-2.140000000000000000e+02	-9.047720190750807925e-03	9.618036423845839622e-02
-2.130000000000000000e+02	-2.120915610119960409e-02	9.434281770209147766e-02
-2.120000000000000000e+02	-3.306821200442026931e-02	9.096608986512165484e-02
-2.110000000000000000e+02	-4.442959709239855531e-02	8.609505708556969283e-02
-2.100000000000000000e+02	-5.510425409760832255e-02	7.979946496241069331e-02
-2.090000000000000000e+02	-6.491254018704932516e-02	7.217310566295888352e-02
-2.080000000000000000e+02	-7.368730424765924936e-02	6.333258649179558664e-02
-2.070000000000000000e+02	-8.127680779888117601e-02	5.341570210754694598e-02
-2.060000000000000000e+02	-8.754743816068590034e-02	4.257942963176641199e-02
-2.050000000000000000e+02	-9.238616478752029182e-02	3.099757258941333166e-02
-2.040000000000000000e+02	-9.570269283640231439e-02	1.885808605924573986e-02
-2.030000000000000000e+02	-9.743120907965695243e-02	6.361085985014669486e-03
-2.020000000000000000e+02	-9.753224863430712266e-02	-6.287228891779348891e-03
-2.010000000000000000e+02	-9.599300079059717994e-02	-1.887521496326493090e-02
-2.000000000000000000e+02	-9.282782910480974481e-02	-3.118993408046710769e-02
-1.990000000000000000e+02	-8.807949701262850206e-02	-4.302105835491740193e-02
-1.980000000000000000e+02	-8.181771512321635298e-02	-5.416431114722736195e-02
-1.970000000000000000e+02	-7.413866916987543743e-02	-6.442503900730499333e-02
-1.960000000000000000e+02	-6.516374950910797104e-02	-7.362166771480456451e-02
-1.950000000000000000e+02	-5.503781544471335330e-02	-8.158899066840619163e-02
-1.940000000000000000e+02	-4.392702714083702303e-02	-8.818123230279793778e-02
-1.930000000000000000e+02	-3.201627355854445856e-02	-9.327482924124200214e-02
-1.920000000000000000e+02	-1.950623249222015534e-02	-9.677087538010138712e-02
-1.910000000000000000e+02	-6.611099974055949235e-03	-9.859711497298140337e-02
-1.900000000000000000e+02	6.446978528884317328e-03	-9.871009848108437679e-02
-1.890000000000000000e+02	1.944161677329587015e-02	-9.709568311810590213e-02
-1.880000000000000000e+02	3.214423981593569207e-02	-9.376968305610879073e-02
-1.870000000000000000e+02	4.432886292084614599e-02	-8.877801384191755241e-02
-1.860000000000000000e+02	5.577621404377207381e-02	-8.219670551859745156e-02
