Source_0,Source_1,Source_2,Source_3,Source_4,Source_5,Source_6,Source_7,Source_8,Source_9,Source_10,Source_11,Source_12,Source_13,Source_14,Source_15,Source_16,Source_17,Source_18,Source_19,Source_20,Source_21,Source_22,Source_23,Source_24,Source_25,Source_26,Source_27,Source_28,Source_29,Source_30,Source_31,Source_32,Source_33,Source_34,Source_35,Source_36,Source_37,Source_38,Source_39,Source_40
-0.02027,0.095627,-0.026447,-0.091132,0.043545,0.091991,0.037389,0.068591,-0.004358,-0.054036,-0.04961,0.033234,-0.002629,0.007973,-0.016418,0.049,0.059176,-0.009969,0.042583,-0.020253,0.124026,-0.034127,0.005352,-0.062277,0.035957,-0.053962,0.023514,-0.035741,-0.035236,-0.056628,-0.037475,0.069277,-0.087004,0.017722,-0.08214,-0.004532,0.043352,0.060596,-0.073794,0.099312,-0.097698
0.026592,-0.123494,0.01379,-0.038531,0.065336,-0.062344,-0.062805,-0.047552,0.020137,-0.017958,0.032064,0.028309,0.025902,-0.033293,0.001809,-0.095752,-0.022333,0.091082,0.042694,0.053628,0.016281,0.072744,-0.007043,0.060472,-0.073405,0.022047,0.066092,-0.038656,-0.036295,-0.000483,0.003328,0.069567,-0.020714,-0.056475,-0.001382,0.046133,-0.004102,-0.052239,0.064752,0.033513,0.030926
0.134719,0.015457,-0.032346,0.035438,0.012014,0.007102,0.066569,-0.032088,-0.058033,-0.015,-0.102213,-0.050514,0.009192,0.033017,0.015141,0.11951,-0.016833,-0.016871,0.073755,-0.00306,0.001731,0.069539,0.075178,-0.013062,0.138766,0.070098,-0.080745,-0.035678,0.083425,-0.07692,-0.002281,-0.043888,-0.048109,0.011111,-0.059171,0.047245,0.105539,0.019436,0.090771,0.106713,-0.083515
-0.003675,0.002815,-0.048561,-0.061324,0.012648,0.015627,-0.089272,-0.061654,0.010086,-0.07719,0.047932,0.15618,-0.07784,-0.113687,-0.031469,-0.048048,-0.021654,0.029611,0.02324,-0.056491,0.09615,-0.013257,0.064488,0.01802,-0.121195,-0.015893,0.035423,-0.004018,-0.094711,-0.012132,0.055005,-0.011067,-0.006945,-0.068354,-0.103366,0.081548,0.00047,-0.042516,-0.034934,0.091938,0.078576
-0.058036,-0.068496,0.045217,-0.021023,0.036498,-0.022839,-0.021277,-0.031909,0.036908,0.03941,0.037521,-0.056411,0.034184,-0.033346,-0.068206,-0.022602,-0.057881,0.054596,-0.012035,-0.002875,-0.082262,-0.029038,-0.077149,0.043975,0.017915,0.008747,0.061418,0.071837,-0.04984,-0.041753,-0.012921,-0.000099,0.036305,-0.005513,0.15855,-0.07236,-0.007607,0.034812,-0.068371,-0.096281,0.035279
-0.017976,0.067782,-0.026808,-0.042782,0.016072,0.052001,0.023088,0.069307,0.034775,-0.025263,-0.044354,0.049924,0.012062,-0.003968,-0.021205,0.074958,0.022225,-0.015476,0.018343,-0.059573,0.105427,-0.015016,0.012498,-0.051635,0.021642,-0.039208,-0.003498,-0.02724,0.014043,0.00916,-0.023028,0.01748,-0.043151,0.027435,-0.066917,-0.041967,0.023626,0.018548,-0.05043,0.053617,-0.076946
0.078426,0.023177,-0.013468,0.086133,-0.084949,-0.022643,-0.010732,-0.026208,-0.034421,-0.063148,0.013273,-0.135283,-0.017504,0.008427,0.028822,-0.077414,0.01398,-0.001365,-0.06167,0.046488,0.021114,-0.002073,-0.008116,-0.093093,0.013872,0.054878,-0.042112,0.021577,-0.024377,-0.060181,0.019361,-0.010974,-0.002386,-0.045521,0.019279,0.053653,0.004369,-0.008654,0.016302,-0.030246,0.009615
0.025534,-0.010943,-0.029722,0.021699,0.002784,0.009553,-0.011212,0.003239,-0.028698,-0.004267,-0.038214,0.076609,-0.027491,-0.023401,-0.009875,0.088528,0.000503,-0.042009,0.00026,-0.054753,0.005869,0.004638,0.042449,0.004711,-0.01049,-0.000885,-0.021359,0.03805,0.056482,-0.005645,0.017356,-0.088653,0.029862,0.001273,-0.047693,0.010277,0.023807,-0.032002,0.047488,-0.016802,-0.000525
-0.008919,-0.006211,0.030385,-0.032882,0.009221,-0.008047,0.009442,-0.016219,0.04749,-0.000939,0.032603,-0.064029,0.034846,0.031277,0.016409,-0.057795,-0.004805,0.048189,0.015823,0.050871,0.021346,0.017345,-0.021284,0.001447,0.026308,-0.00053,0.00682,-0.067085,-0.064011,0.030318,-0.00864,0.094678,-0.065635,0.006698,0.012454,-0.005003,-0.001116,0.022221,-0.050778,0.038462,-0.029331
0.018147,0.067521,0.039623,0.06799,-0.056066,0.033495,0.034328,0.005671,-0.045957,0.041128,-0.035509,-0.089823,0.010105,0.089402,0.043488,0.095867,0.029925,-0.051899,-0.050779,0.024728,-0.049369,0.008626,0.002168,-0.078127,0.106599,0.028249,-0.055858,-0.002517,0.081135,0.026358,-0.017446,-0.051007,-0.009754,0.067894,0.002483,-0.034105,-0.008516,0.016178,-0.001082,-0.059773,-0.059981
